Year,Industry,Volume_applied,volume_ML
2006,All other crops,673240.3730520105,673240.0
2006,Almonds,157869.14318339824,157869.0
2006,Cotton,1549820.7846477402,1549821.0
2006,Fruit,284105.5293701495,284106.0
2006,Grapevines,539263.45386441,539263.0
2006,Pastures - Grazing,2038612.89052896,2038613.0
2006,Pastures - Hay,645051.6911116749,645052.0
2006,Rice,1239283.288845292,1239283.0
2006,Vegetables,159337.9672422,159338.0
2007,All other crops,605761.1022328401,605761.0
2007,Almonds,141243.55762483692,141244.0
2007,Cotton,791113.2484727486,791113.0
2007,Fruit,302581.3961383129,302581.0
2007,Grapevines,553072.5653816689,553073.0
2007,Pastures - Grazing,1100778.372394199,1100778.0
2007,Pastures - Hay,566512.4012446771,566512.0
2007,Rice,237213.806203728,237214.0
2007,Vegetables,146677.7748962,146678.0
2008,All other crops,850160.8254894249,850161.0
2008,Almonds,146008.10693429306,146008.0
2008,Cotton,280904.6383832973,280905.0
2008,Fruit,300560.5243828125,300561.0
2008,Grapevines,447647.20858919324,447647.0
2008,Pastures - Grazing,665648.02213759,665648.0
2008,Pastures - Hay,314772.1007148926,314772.0
2008,Rice,26663.98084128,26664.0
2008,Vegetables,135876.69027453786,135877.0
2009,All other crops,615668.8723543077,615669.0
2009,Almonds,173191.3407623519,173191.0
2009,Cotton,615399.0165312138,615399.0
2009,Fruit,303604.16289847775,303604.0
2009,Grapevines,463945.6226419924,463946.0
2009,Pastures - Grazing,910858.2408754253,910858.0
2009,Pastures - Hay,211430.44012712064,211430.0
2009,Rice,101473.91586936,101474.0
2009,Vegetables,142241.0923621237,142241.0
2010,All other crops,389089.94716221764,389090.0
2010,Almonds,185131.45909766378,185131.0
2010,Cotton,617120.584318877,617121.0
2010,Fruit,274078.9446450832,274079.0
2010,Grapevines,436565.5081730195,436566.0
2010,Pastures - Grazing,730346.8281562061,730347.0
2010,Pastures - Hay,248900.44682135465,248900.0
2010,Rice,451076.416996792,451076.0
2010,Vegetables,148648.92357418922,148649.0
2011,All other crops,338637.39,338637.0
2011,Almonds,188267.8440332017,188268.0
2011,Cotton,1834685.2221799684,1834685.0
2011,Fruit,254078.18484404718,254078.0
2011,Grapevines,319315.88,319316.0
2011,Pastures - Grazing,632463.1503853,632463.0
2011,Pastures - Hay,200748.79,200749.0
2011,Rice,753379.57,753380.0
2011,Vegetables,131782.02,131782.0
2012,All other crops,550816.6653660422,550817.0
2012,Almonds,241315.9079565542,241316.0
2012,Cotton,1905918.91,1905919.0
2012,Fruit,300646.96850643115,300647.0
2012,Grapevines,379787.77999999997,379788.0
2012,Pastures - Grazing,1035314.2963362737,1035314.0
2012,Pastures - Hay,249713.88048362226,249714.0
2012,Rice,1130605.54,1130606.0
2012,Vegetables,135190.53,135191.0
2013,All other crops,912893.4115546145,912893.0
2013,Almonds,283580.0109568494,283580.0
2013,Cotton,2734530.52,2734531.0
2013,Fruit,314098.21527635626,314098.0
2013,Grapevines,485070.60404428584,485071.0
2013,Pastures - Grazing,1661538.388487,1661538.0
2013,Pastures - Hay,405006.76,405007.0
2013,Rice,1428941.65,1428942.0
2013,Vegetables,112043.34770050588,112043.0
2014,All other crops,916849.8687242833,916850.0
2014,Almonds,322557.2478637812,322557.0
2014,Cotton,2676405.7399999998,2676406.0
2014,Fruit,326476.5700127517,326477.0
2014,Grapevines,434730.28,434730.0
2014,Pastures - Grazing,1424159.7027595816,1424160.0
2014,Pastures - Hay,472276.47,472276.0
2014,Rice,905947.02,905947.0
2014,Vegetables,127212.8274175863,127213.0
2015,All other crops,807721.5251636433,807722.0
2015,Almonds,351747.3285254837,351747.0
2015,Cotton,1113946.71,1113947.0
2015,Fruit,314094.6237626765,314095.0
2015,Grapevines,451620.09,451620.0
2015,Pastures - Grazing,1437794.8233778388,1437795.0
2015,Pastures - Hay,451019.7111426063,451020.0
2015,Rice,873528.19,873528.0
2015,Vegetables,129104.31762403337,129104.0
2016,All other crops,657316.6699999999,657317.0
2016,Almonds,475383.35373835405,475383.0
2016,Cotton,1293247.85,1293248.0
2016,Fruit,348636.5407871732,348637.0
2016,Grapevines,451613.80000000005,451614.0
2016,Pastures - Grazing,973820.87607829,973821.0
2016,Pastures - Hay,431730.9768914709,431731.0
2016,Rice,298579.87,298580.0
2016,Vegetables,164329.61000000002,164330.0
2017,All other crops,406673.57262949937,406674.0
2017,Almonds,488205.5737336742,488206.0
2017,Cotton,2437691.253787747,2437691.0
2017,Fruit,304420.2160290291,304420.0
2017,Grapevines,393057.7,393058.0
2017,Pastures - Grazing,1014007.5037259018,1014008.0
2017,Pastures - Hay,371109.19168304733,371109.0
2017,Rice,935463.77,935464.0
2017,Vegetables,137480.05,137480.0
2018,All other crops,661513.5359477137,661514.0
2018,Almonds,532654.950066189,532655.0
2018,Cotton,2505049.8,2505050.0
2018,Fruit,330110.22235435306,330110.0
2018,Grapevines,430192.63,430193.0
2018,Pastures - Grazing,1250195.14786608,1250195.0
2018,Pastures - Hay,431117.47000000003,431117.0
2018,Rice,718129.77,718130.0
2018,Vegetables,140087.72,140088.0
2019,All other crops,593587.0883538849,593587.0
2019,Almonds,547221.3201070987,547221.0
2019,Cotton,1213071.01391962,1213071.0
2019,Fruit,315190.22242429864,315190.0
2019,Grapevines,419722.87795282225,419723.0
2019,Pastures - Grazing,809814.0278569062,809814.0
2019,Pastures - Hay,417041.12027209,417041.0
2019,Rice,67960.31994049999,67960.0
2019,Vegetables,92613.56406414999,92614.0
2020,All other crops,342788.5107176013,342789.0
2020,Almonds,533455.7029201998,533456.0
2020,Cotton,286365.49555863003,286365.0
2020,Fruit,317728.0446473673,317728.0
2020,Grapevines,410815.2805535629,410815.0
2020,Pastures - Grazing,532594.3296195827,532594.0
2020,Pastures - Hay,260605.91959147758,260606.0
2020,Rice,53475.769154,53476.0
2020,Vegetables,103595.72416812,103596.0
